,Event Type,Place,Event Start Date,Fatalities,Injured / Infected,Evacuated,Estimated Total Cost
,Geological:,Ungava Peninsula QC,25-Dec-89,0,0,0,Unknown
,Earthquake,,,,,,
,Hazardous Chemicals:,Saint-L_onard d'Aston QC,12-Dec-89,0,0,840,Unknown
,Derailment Release,,,,,,
,Meteorological - Hydrological:,Gulf of St. Lawrence QC,7-Dec-89,39,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Hazardous Chemicals:,Saint-Jacques QC,29-Sep-89,1,1,0,Unknown
,Vehicle Release,,,,,,
,Meteorological - Hydrological:,Radisson QC,22-Jul-89,0,0,300,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Province of Quebec,13-Mar-89,Unknown,Unknown,Unknown,Unknown
,Geomagnetic Storm,,,,,,
,Geological:,Saguenay region QC,25-Nov-88,0,0,0,"$37,970,666"
,Earthquake,,,,,,
,Hazardous Chemicals:,Saint-Basile-le-Grand QC,23-Aug-88,0,0,5000,"$26,931,008"
,Fire,,,,,,
,Meteorological - Hydrological:,"Louiseville, Yamachiche and St.-Justin Region of Trois-Rivières QC",20-Jun-88,0,0,0,Unknown
,Storm - Unspecified / Other,,,,,,
,Hazardous Chemicals:,Linton QC,10-May-88,0,0,0,Unknown
,Derailment Release,,,,,,
,Hazardous Chemicals:,Saint-Romuald QC,8-May-88,0,0,0,Unknown
,Marine Release,,,,,,
,Meteorological - Hydrological:,Montreal QC,14-Jul-87,2,0,0,"$64,216,681"
,Flood,,,,,,
,Meteorological - Hydrological:,Montreal QC,29-May-87,0,0,0,"$24,891,000"
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Southcentral Quebec,28-Mar-87,0,0,300,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Eastern Ontario and Southwestern Quebec,24-Dec-86,0,0,0,Unknown
,Winter Storm,,,,,,
,Fire:,Montreal and Westmount QC,26-Oct-86,0,0,0,Unknown
,Residential,,,,,,
,Meteorological - Hydrological:,Waswanipi reserve QC,2-Jun-86,0,0,500,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Montreal QC,29-May-86,0,0,0,"$45,473,000"
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Riviere Chaudière QC,30-Mar-86,0,0,750,Unknown
,Flood,,,,,,
,Terrorist:,Montreal QC,3-Sep-84,3,45,0,Unknown
,Bomb Attacks,,,,,,
,Meteorological - Hydrological:,Eastern Ontario and Western Quebec,15-Jul-84,1,43,0,Unknown
,Tornado,,,,,,
,Terrorist:,Quebec City QC,8-May-84,3,13,0,Unknown
,Shootings,,,,,,
,Meteorological - Hydrological:,Quebec,1-Jan-84,0,0,0,Unknown
,Cold Event,,,,,,
,Meteorological - Hydrological:,Gasp_sie QC,7-Dec-83,0,0,0,"$53,831,341"
,Flood,,,,,,
,Meteorological - Hydrological:,"upper Richelieu River, Montr_al QC",10-May-83,0,0,160,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,"North shore of St. Lawrence River, and Yamachiche Maskinonge River basins QC",19-Mar-83,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Eastern Canada,1-Jan-83,0,0,0,Unknown
,Cold Event,,,,,,
,Meteorological - Hydrological:,Montreal (Sainte-Rose) QC,14-Jun-82,5,26,0,Unknown
,Tornado,,,,,,
,Meteorological - Hydrological:,Sherbrooke QC,17-Apr-82,0,0,300,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,ëles-de-la-Madeleine QC,22-Feb-82,0,0,75,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Across Canada,5-Jan-82,0,0,0,Unknown
,Cold Event,,,,,,
,Hazardous Chemicals:,St-Hilaire QC,29-Apr-81,0,0,800,Unknown
,Leak / Spill Release,,,,,,
,Meteorological - Hydrological:,Quebec,1-Jan-81,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Gasp_sie Region QC,6-Jul-80,0,0,160,Unknown
,Flood,,,,,,
,Geological:,"Belmoral Mine, Val d'Or, QC",20-May-80,8,0,0,Unknown
,Landslide,,,,,,
,Arson:,Chapais region of Chibougamau QC,1-Jan-80,45,55,0,Unknown
,Residential,,,,,,
,Meteorological - Hydrological:,Southern Quebec,13-Sep-79,0,0,0,Unknown
,Hurricane / Typhoon / Tropical Storm,,,,,,
,Meteorological - Hydrological:,Montreal QC,5-Jun-79,0,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Transportation accident:,Quebec City QC,29-Mar-79,17,7,0,Unknown
,Air,,,,,,
,Transportation accident:,Eastman QC,4-Aug-78,41,0,0,Unknown
,Vehicle,,,,,,
,Hazardous Chemicals:,St-Eustache QC,12-Apr-78,0,4,2000,Unknown
,Leak / Spill Release,,,,,,
,Meteorological - Hydrological:,New Brunswick and Quebec,10-Aug-76,0,0,0,Unknown
,Hurricane / Typhoon / Tropical Storm,,,,,,
,Meteorological - Hydrological:,Quebec,1-Mar-76,0,0,0,"$20,500,000"
,Flood,,,,,,
