,Event Type,Place,Event Start Date,Fatalities,Injured / Infected,Evacuated,Normalized Total Cost (2016)
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Toronto ON,13-Jan-99,2,0,0,"$168,620,022"
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Southern Ontario,3-Jan-99,11,7,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Northern Ontario,4-Jul-98,0,0,1865,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Eastern Ontario and Quebec,28-Mar-98,0,0,3757,"$39,014,593"
,Flood,,,,,,
,Meteorological - Hydrological:,"Ontario, Quebec and New Brunswick",4-Jan-98,35,945,17800,"$6,519,457,871"
,Winter Storm,,,,,,
,Hazardous Chemicals:,Hamilton ON,10-Jul-97,0,0,4000,Unknown
,Fire,,,,,,
,Meteorological - Hydrological:,"Iroquois Falls, Kirkland Lake, Timmins areas ON",12-Jun-97,0,0,823,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Timmins ON,29-May-97,0,0,400,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Durham ON,9-Jan-97,0,0,200,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Ottawa ON,8-Aug-96,0,0,0,"$30,775,559"
,Flood,,,,,,
,Meteorological - Hydrological:,Atikokan ON,5-Jul-96,0,0,0,"$401,609"
,Flood,,,,,,
,Meteorological - Hydrological:,Timmins and Dufferin County ON,17-May-96,0,0,0,"$546,757"
,Flood,,,,,,
,Meteorological - Hydrological:,"Grey County, Wellington and Dufferin County ON",20-Apr-96,0,9,0,"$13,583,495"
,Tornado,,,,,,
,Meteorological - Hydrological:,South Dumfries ON,1-Jan-96,0,0,0,"$144,244"
,Storm - Unspecified / Other,,,,,,
,Meteorological - Hydrological:,Southern Ontario,10-Dec-95,1,0,50,Unknown
,Winter Storm,,,,,,
,Hazardous Chemicals:,Sudbury ON,16-Nov-95,0,20,0,Unknown
,Leak / Spill Release,,,,,,
,Meteorological - Hydrological:,Hamilton ON,5-Oct-95,0,0,0,"$25,531,959"
,Storms and Severe Thunderstorms,,,,,,
,Transportation accident:,Toronto ON,11-Aug-95,3,140,0,Unknown
,Rail,,,,,,
,Meteorological - Hydrological:,Southern Ontario,13-Jul-95,0,0,0,"$83,416,027"
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Southern ON,28-Aug-94,0,0,0,"$11,800,215"
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Southern ON,28-Jan-94,0,0,0,"$10,186,600"
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Southern ON,16-Jan-94,0,0,0,"$21,423,473"
,Flood,,,,,,
,Infrastructure failure:,Kirkland Lake ON,26-Nov-93,2,0,0,Unknown
,Manufacturing / Industry,,,,,,
,Meteorological - Hydrological:,Quebec and Ontario,1-Nov-93,0,0,0,Unknown
,Winter Storm,,,,,,
,Hazardous Chemicals:,Windsor ON,17-Oct-93,0,0,0,Unknown
,Leak / Spill Release,,,,,,
,Meteorological - Hydrological:,Ontario and Quebec,12-Nov-92,0,0,0,Unknown
,Storm - Unspecified / Other,,,,,,
,Meteorological - Hydrological:,Elmira ON,28-Aug-92,0,0,0,"$7,243,195"
,Flood,,,,,,
,Meteorological - Hydrological:,Toronto ON,31-Jul-92,0,0,0,"$8,159,423"
,Flood,,,,,,
,Hazardous Chemicals:,Longlac ON,25-May-92,0,0,800,Unknown
,Derailment Release,,,,,,
,Meteorological - Hydrological:,Attawapiskat ON,18-May-92,0,0,1000,Unknown
,Flood,,,,,,
,Hazardous Chemicals:,Sarnia ON,19-Mar-92,0,0,0,Unknown
,Leak / Spill Release,,,,,,
,Hazardous Chemicals:,Corunna ON,21-Jan-92,0,0,0,Unknown
,Leak / Spill Release,,,,,,
,Meteorological - Hydrological:,Prairies Provinces and Ontario,1-Jan-92,0,0,0,"$3,057,143"
,Cold Event,,,,,,
,Meteorological - Hydrological:,Central Ontario,30-Nov-91,0,0,0,"$9,276,914"
,Storm - Unspecified / Other,,,,,,
,Fire:,Jarvis ON,26-Sep-91,0,1,1300,Unknown
,Residential,,,,,,
,Hazardous Chemicals:,Sarnia ON,22-Jul-91,0,0,5000,Unknown
,Fire,,,,,,
,Meteorological - Hydrological:,Sarnia ON,27-Mar-91,0,0,0,"$43,902,033"
,Tornado,,,,,,
,Hazardous Chemicals:,Cochrane ON,11-Jan-91,0,0,0,Unknown
,Leak / Spill Release,,,,,,
,Meteorological - Hydrological:,Southern Ontario,29-Aug-90,0,6,0,"$1,297,376"
,Tornado,,,,,,
,Hazardous Chemicals:,Harrow ON,23-Jul-90,0,0,0,Unknown
,Fire,,,,,,
,Arson:,Hagersville ON,12-Feb-90,0,0,1700,Unknown
,Non-Residential,,,,,,
,Meteorological - Hydrological:,British Columbia to Ontario,18-Dec-89,7,0,0,"$920,923"
,Cold Event,,,,,,
,Hazardous Chemicals:,Sudbury ON,2-Oct-89,2,1,0,Unknown
,Vehicle Release,,,,,,
,Hazardous Chemicals:,Ottawa ON,12-Sep-89,1,0,0,Unknown
,Vehicle Release,,,,,,
,Meteorological - Hydrological:,"Harrow, Kent, Essex, Leamington counties ON",19-Jul-89,0,0,0,"$23,700,786"
,Flood,,,,,,
,Transportation accident:,Dryden ON,10-Mar-89,24,45,0,Unknown
,Air,,,,,,
,Meteorological - Hydrological:,Yukon to Ontario,30-Jan-89,13,100,0,Unknown
,Cold Event,,,,,,
,Meteorological - Hydrological:,Albany and Attawapiskat River ON,1-Jan-89,0,0,1000,Unknown
,Flood,,,,,,
,Hazardous Chemicals:,Dundas ON,1-Jan-89,0,0,200,Unknown
,Fire,,,,,,
,Hazardous Chemicals:,Niagara Falls ON,1-Jan-89,0,0,100,Unknown
,Fire,,,,,,
,Hazardous Chemicals:,Sarnia ON,1-Jan-89,0,0,250,Unknown
,Derailment Release,,,,,,
,Hazardous Chemicals:,Courtland ON,17-Dec-88,0,0,500,Unknown
,Fire,,,,,,
,Meteorological - Hydrological:,Ontario and Manitoba,5-Jul-88,14,0,0,Unknown
,Heat Event,,,,,,
,Hazardous Chemicals:,Sarnia ON,24-May-88,0,0,0,Unknown
,Leak / Spill Release,,,,,,
,Meteorological - Hydrological:,Whitedog Lake ON,1-Jan-88,0,0,500,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Goulais River ON,1-Jan-88,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Valrita-Harty ON,13-May-87,0,0,800,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Lake St. Clair ON,4-Apr-87,0,0,50,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Eastern Ontario and Southwestern Quebec,24-Dec-86,0,0,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Winisk ON,16-May-86,2,0,129,Unknown
,Flood,,,,,,
,Hazardous Chemicals:,Timmins ON,31-Mar-86,0,0,5000,Unknown
,Derailment Release,,,,,,
